x	y	u	v	velocity_magnitude	vorticity	temperature
0.000000e+00 0.000000e+00 0.000000e+00 -0.000000e+00 0.000000e+00 0.000000e+00 1.234098e-04
6.346652e-02 0.000000e+00 6.342392e-02 -0.000000e+00 6.342392e-02 2.011972e-03 1.477456e-04
1.269330e-01 0.000000e+00 1.265925e-01 -0.000000e+00 1.265925e-01 4.015843e-03 1.762319e-04
1.903996e-01 0.000000e+00 1.892512e-01 -0.000000e+00 1.892512e-01 6.003543e-03 2.094398e-04
2.538661e-01 0.000000e+00 2.511480e-01 -0.000000e+00 2.511480e-01 7.967069e-03 2.479925e-04
3.173326e-01 0.000000e+00 3.120334e-01 -0.000000e+00 3.120334e-01 9.898515e-03 2.925653e-04
3.807991e-01 0.000000e+00 3.716625e-01 -0.000000e+00 3.716625e-01 1.179010e-02 3.438838e-04
4.442656e-01 0.000000e+00 4.297949e-01 -0.000000e+00 4.297949e-01 1.363422e-02 4.027222e-04
5.077321e-01 0.000000e+00 4.861967e-01 -0.000000e+00 4.861967e-01 1.542343e-02 4.698986e-04
5.711987e-01 0.000000e+00 5.406408e-01 -0.000000e+00 5.406408e-01 1.715054e-02 5.462703e-04
6.346652e-01 0.000000e+00 5.929079e-01 -0.000000e+00 5.929079e-01 1.880859e-02 6.327261e-04
6.981317e-01 0.000000e+00 6.427876e-01 -0.000000e+00 6.427876e-01 2.039090e-02 7.301780e-04
7.615982e-01 0.000000e+00 6.900790e-01 -0.000000e+00 6.900790e-01 2.189111e-02 8.395499e-04
8.250647e-01 0.000000e+00 7.345917e-01 -0.000000e+00 7.345917e-01 2.330317e-02 9.617653e-04
8.885313e-01 0.000000e+00 7.761465e-01 -0.000000e+00 7.761465e-01 2.462139e-02 1.097732e-03
9.519978e-01 0.000000e+00 8.145760e-01 -0.000000e+00 8.145760e-01 2.584047e-02 1.248328e-03
1.015464e+00 0.000000e+00 8.497254e-01 -0.000000e+00 8.497254e-01 2.695551e-02 1.414378e-03
1.078931e+00 0.000000e+00 8.814534e-01 -0.000000e+00 8.814534e-01 2.796200e-02 1.596641e-03
1.142397e+00 0.000000e+00 9.096320e-01 -0.000000e+00 9.096320e-01 2.885590e-02 1.795783e-03
1.205864e+00 0.000000e+00 9.341479e-01 -0.000000e+00 9.341479e-01 2.963361e-02 2.012358e-03
1.269330e+00 0.000000e+00 9.549022e-01 -0.000000e+00 9.549022e-01 3.029199e-02 2.246784e-03
1.332797e+00 0.000000e+00 9.718116e-01 -0.000000e+00 9.718116e-01 3.082840e-02 2.499323e-03
1.396263e+00 0.000000e+00 9.848078e-01 -0.000000e+00 9.848078e-01 3.124067e-02 2.770053e-03
1.459730e+00 0.000000e+00 9.938385e-01 -0.000000e+00 9.938385e-01 3.152715e-02 3.058853e-03
1.523196e+00 0.000000e+00 9.988673e-01 -0.000000e+00 9.988673e-01 3.168668e-02 3.365378e-03
1.586663e+00 0.000000e+00 9.998741e-01 0.000000e+00 9.998741e-01 3.171862e-02 3.689046e-03
1.650129e+00 0.000000e+00 9.968548e-01 0.000000e+00 9.968548e-01 3.162283e-02 4.029015e-03
1.713596e+00 0.000000e+00 9.898214e-01 0.000000e+00 9.898214e-01 3.139972e-02 4.384183e-03
1.777063e+00 0.000000e+00 9.788024e-01 0.000000e+00 9.788024e-01 3.105017e-02 4.753168e-03
1.840529e+00 0.000000e+00 9.638422e-01 0.000000e+00 9.638422e-01 3.057559e-02 5.134314e-03
1.903996e+00 0.000000e+00 9.450008e-01 0.000000e+00 9.450008e-01 2.997789e-02 5.525690e-03
1.967462e+00 0.000000e+00 9.223543e-01 0.000000e+00 9.223543e-01 2.925948e-02 5.925096e-03
2.030929e+00 0.000000e+00 8.959938e-01 0.000000e+00 8.959938e-01 2.842326e-02 6.330079e-03
2.094395e+00 0.000000e+00 8.660254e-01 0.000000e+00 8.660254e-01 2.747259e-02 6.737947e-03
2.157862e+00 0.000000e+00 8.325699e-01 0.000000e+00 8.325699e-01 2.641129e-02 7.145800e-03
2.221328e+00 0.000000e+00 7.957618e-01 0.000000e+00 7.957618e-01 2.524364e-02 7.550556e-03
2.284795e+00 0.000000e+00 7.557496e-01 0.000000e+00 7.557496e-01 2.397435e-02 7.948987e-03
2.348261e+00 0.000000e+00 7.126942e-01 0.000000e+00 7.126942e-01 2.260852e-02 8.337761e-03
2.411728e+00 0.000000e+00 6.667690e-01 0.000000e+00 6.667690e-01 2.115165e-02 8.713486e-03
2.475194e+00 0.000000e+00 6.181590e-01 0.000000e+00 6.181590e-01 1.960962e-02 9.072755e-03
2.538661e+00 0.000000e+00 5.670599e-01 0.000000e+00 5.670599e-01 1.798862e-02 9.412202e-03
2.602127e+00 0.000000e+00 5.136774e-01 0.000000e+00 5.136774e-01 1.629519e-02 9.728549e-03
2.665594e+00 0.000000e+00 4.582265e-01 0.000000e+00 4.582265e-01 1.453614e-02 1.001866e-02
2.729060e+00 0.000000e+00 4.009305e-01 0.000000e+00 4.009305e-01 1.271856e-02 1.027960e-02
2.792527e+00 0.000000e+00 3.420201e-01 0.000000e+00 3.420201e-01 1.084977e-02 1.050866e-02
2.855993e+00 0.000000e+00 2.817326e-01 0.000000e+00 2.817326e-01 8.937292e-03 1.070344e-02
2.919460e+00 0.000000e+00 2.203105e-01 0.000000e+00 2.203105e-01 6.988825e-03 1.086186e-02
2.982926e+00 0.000000e+00 1.580014e-01 0.000000e+00 1.580014e-01 5.012216e-03 1.098221e-02
3.046393e+00 0.000000e+00 9.505604e-02 0.000000e+00 9.505604e-02 3.015426e-03 1.106319e-02
3.109859e+00 0.000000e+00 3.172793e-02 0.000000e+00 3.172793e-02 1.006493e-03 1.110390e-02
3.173326e+00 0.000000e+00 -3.172793e-02 0.000000e+00 3.172793e-02 -1.006493e-03 1.110390e-02
3.236792e+00 0.000000e+00 -9.505604e-02 0.000000e+00 9.505604e-02 -3.015426e-03 1.106319e-02
3.300259e+00 0.000000e+00 -1.580014e-01 0.000000e+00 1.580014e-01 -5.012216e-03 1.098221e-02
3.363725e+00 0.000000e+00 -2.203105e-01 0.000000e+00 2.203105e-01 -6.988825e-03 1.086186e-02
3.427192e+00 0.000000e+00 -2.817326e-01 0.000000e+00 2.817326e-01 -8.937292e-03 1.070344e-02
