r	theta	vorticity
0.1000000000	0.0000000000	1.9800996675
0.3181818182	0.0000000000	1.8074328275
0.5363636364	0.0000000000	1.4999941831
0.7545454545	0.0000000000	1.1317989269
0.9727272727	0.0000000000	0.7764281537
1.1909090909	0.0000000000	0.4842677696
1.4090909091	0.0000000000	0.2746136689
1.6272727273	0.0000000000	0.1415829735
1.8454545455	0.0000000000	0.0663670023
2.0636363636	0.0000000000	0.0282843152
2.2818181818	0.0000000000	0.0109595174
2.5000000000	0.0000000000	0.0038609083
0.1000000000	0.3306939635	1.9800996675
0.3181818182	0.3306939635	1.8074328275
0.5363636364	0.3306939635	1.4999941831
0.7545454545	0.3306939635	1.1317989269
0.9727272727	0.3306939635	0.7764281537
1.1909090909	0.3306939635	0.4842677696
1.4090909091	0.3306939635	0.2746136689
1.6272727273	0.3306939635	0.1415829735
1.8454545455	0.3306939635	0.0663670023
2.0636363636	0.3306939635	0.0282843152
2.2818181818	0.3306939635	0.0109595174
2.5000000000	0.3306939635	0.0038609083
0.1000000000	0.6613879271	1.9800996675
0.3181818182	0.6613879271	1.8074328275
0.5363636364	0.6613879271	1.4999941831
0.7545454545	0.6613879271	1.1317989269
0.9727272727	0.6613879271	0.7764281537
1.1909090909	0.6613879271	0.4842677696
1.4090909091	0.6613879271	0.2746136689
1.6272727273	0.6613879271	0.1415829735
1.8454545455	0.6613879271	0.0663670023
2.0636363636	0.6613879271	0.0282843152
2.2818181818	0.6613879271	0.0109595174
2.5000000000	0.6613879271	0.0038609083
0.1000000000	0.9920818906	1.9800996675
0.3181818182	0.9920818906	1.8074328275
0.5363636364	0.9920818906	1.4999941831
0.7545454545	0.9920818906	1.1317989269
0.9727272727	0.9920818906	0.7764281537
1.1909090909	0.9920818906	0.4842677696
1.4090909091	0.9920818906	0.2746136689
1.6272727273	0.9920818906	0.1415829735
1.8454545455	0.9920818906	0.0663670023
2.0636363636	0.9920818906	0.0282843152
2.2818181818	0.9920818906	0.0109595174
2.5000000000	0.9920818906	0.0038609083
0.1000000000	1.3227758541	1.9800996675
0.3181818182	1.3227758541	1.8074328275
0.5363636364	1.3227758541	1.4999941831
0.7545454545	1.3227758541	1.1317989269
0.9727272727	1.3227758541	0.7764281537
1.1909090909	1.3227758541	0.4842677696
1.4090909091	1.3227758541	0.2746136689
1.6272727273	1.3227758541	0.1415829735
1.8454545455	1.3227758541	0.0663670023
2.0636363636	1.3227758541	0.0282843152
2.2818181818	1.3227758541	0.0109595174
2.5000000000	1.3227758541	0.0038609083
0.1000000000	1.6534698177	1.9800996675
0.3181818182	1.6534698177	1.8074328275
0.5363636364	1.6534698177	1.4999941831
0.7545454545	1.6534698177	1.1317989269
0.9727272727	1.6534698177	0.7764281537
1.1909090909	1.6534698177	0.4842677696
1.4090909091	1.6534698177	0.2746136689
1.6272727273	1.6534698177	0.1415829735
1.8454545455	1.6534698177	0.0663670023
2.0636363636	1.6534698177	0.0282843152
2.2818181818	1.6534698177	0.0109595174
2.5000000000	1.6534698177	0.0038609083
0.1000000000	1.9841637812	1.9800996675
0.3181818182	1.9841637812	1.8074328275
0.5363636364	1.9841637812	1.4999941831
0.7545454545	1.9841637812	1.1317989269
0.9727272727	1.9841637812	0.7764281537
1.1909090909	1.9841637812	0.4842677696
1.4090909091	1.9841637812	0.2746136689
1.6272727273	1.9841637812	0.1415829735
1.8454545455	1.9841637812	0.0663670023
2.0636363636	1.9841637812	0.0282843152
2.2818181818	1.9841637812	0.0109595174
2.5000000000	1.9841637812	0.0038609083
0.1000000000	2.3148577448	1.9800996675
0.3181818182	2.3148577448	1.8074328275
0.5363636364	2.3148577448	1.4999941831
0.7545454545	2.3148577448	1.1317989269
0.9727272727	2.3148577448	0.7764281537
1.1909090909	2.3148577448	0.4842677696
1.4090909091	2.3148577448	0.2746136689
1.6272727273	2.3148577448	0.1415829735
1.8454545455	2.3148577448	0.0663670023
2.0636363636	2.3148577448	0.0282843152
2.2818181818	2.3148577448	0.0109595174
2.5000000000	2.3148577448	0.0038609083
0.1000000000	2.6455517083	1.9800996675
0.3181818182	2.6455517083	1.8074328275
0.5363636364	2.6455517083	1.4999941831
0.7545454545	2.6455517083	1.1317989269
0.9727272727	2.6455517083	0.7764281537
1.1909090909	2.6455517083	0.4842677696
1.4090909091	2.6455517083	0.2746136689
1.6272727273	2.6455517083	0.1415829735
1.8454545455	2.6455517083	0.0663670023
2.0636363636	2.6455517083	0.0282843152
2.2818181818	2.6455517083	0.0109595174
2.5000000000	2.6455517083	0.0038609083
0.1000000000	2.9762456718	1.9800996675
0.3181818182	2.9762456718	1.8074328275
0.5363636364	2.9762456718	1.4999941831
0.7545454545	2.9762456718	1.1317989269
0.9727272727	2.9762456718	0.7764281537
1.1909090909	2.9762456718	0.4842677696
1.4090909091	2.9762456718	0.2746136689
1.6272727273	2.9762456718	0.1415829735
1.8454545455	2.9762456718	0.0663670023
2.0636363636	2.9762456718	0.0282843152
2.2818181818	2.9762456718	0.0109595174
2.5000000000	2.9762456718	0.0038609083
0.1000000000	3.3069396354	1.9800996675
0.3181818182	3.3069396354	1.8074328275
0.5363636364	3.3069396354	1.4999941831
0.7545454545	3.3069396354	1.1317989269
0.9727272727	3.3069396354	0.7764281537
1.1909090909	3.3069396354	0.4842677696
1.4090909091	3.3069396354	0.2746136689
1.6272727273	3.3069396354	0.1415829735
1.8454545455	3.3069396354	0.0663670023
2.0636363636	3.3069396354	0.0282843152
2.2818181818	3.3069396354	0.0109595174
2.5000000000	3.3069396354	0.0038609083
0.1000000000	3.6376335989	1.9800996675
0.3181818182	3.6376335989	1.8074328275
0.5363636364	3.6376335989	1.4999941831
0.7545454545	3.6376335989	1.1317989269
0.9727272727	3.6376335989	0.7764281537
1.1909090909	3.6376335989	0.4842677696
1.4090909091	3.6376335989	0.2746136689
1.6272727273	3.6376335989	0.1415829735
1.8454545455	3.6376335989	0.0663670023
2.0636363636	3.6376335989	0.0282843152
2.2818181818	3.6376335989	0.0109595174
2.5000000000	3.6376335989	0.0038609083
0.1000000000	3.9683275624	1.9800996675
0.3181818182	3.9683275624	1.8074328275
0.5363636364	3.9683275624	1.4999941831
0.7545454545	3.9683275624	1.1317989269
0.9727272727	3.9683275624	0.7764281537
1.1909090909	3.9683275624	0.4842677696
1.4090909091	3.9683275624	0.2746136689
1.6272727273	3.9683275624	0.1415829735
1.8454545455	3.9683275624	0.0663670023
2.0636363636	3.9683275624	0.0282843152
2.2818181818	3.9683275624	0.0109595174
2.5000000000	3.9683275624	0.0038609083
0.1000000000	4.2990215260	1.9800996675
0.3181818182	4.2990215260	1.8074328275
0.5363636364	4.2990215260	1.4999941831
0.7545454545	4.2990215260	1.1317989269
0.9727272727	4.2990215260	0.7764281537
1.1909090909	4.2990215260	0.4842677696
1.4090909091	4.2990215260	0.2746136689
1.6272727273	4.2990215260	0.1415829735
1.8454545455	4.2990215260	0.0663670023
2.0636363636	4.2990215260	0.0282843152
2.2818181818	4.2990215260	0.0109595174
2.5000000000	4.2990215260	0.0038609083
0.1000000000	4.6297154895	1.9800996675
0.3181818182	4.6297154895	1.8074328275
0.5363636364	4.6297154895	1.4999941831
0.7545454545	4.6297154895	1.1317989269
0.9727272727	4.6297154895	0.7764281537
1.1909090909	4.6297154895	0.4842677696
1.4090909091	4.6297154895	0.2746136689
1.6272727273	4.6297154895	0.1415829735
1.8454545455	4.6297154895	0.0663670023
2.0636363636	4.6297154895	0.0282843152
2.2818181818	4.6297154895	0.0109595174
2.5000000000	4.6297154895	0.0038609083
0.1000000000	4.9604094530	1.9800996675
0.3181818182	4.9604094530	1.8074328275
0.5363636364	4.9604094530	1.4999941831
0.7545454545	4.9604094530	1.1317989269
0.9727272727	4.9604094530	0.7764281537
1.1909090909	4.9604094530	0.4842677696
1.4090909091	4.9604094530	0.2746136689
1.6272727273	4.9604094530	0.1415829735
1.8454545455	4.9604094530	0.0663670023
2.0636363636	4.9604094530	0.0282843152
2.2818181818	4.9604094530	0.0109595174
2.5000000000	4.9604094530	0.0038609083
0.1000000000	5.2911034166	1.9800996675
0.3181818182	5.2911034166	1.8074328275
0.5363636364	5.2911034166	1.4999941831
0.7545454545	5.2911034166	1.1317989269
0.9727272727	5.2911034166	0.7764281537
1.1909090909	5.2911034166	0.4842677696
1.4090909091	5.2911034166	0.2746136689
1.6272727273	5.2911034166	0.1415829735
1.8454545455	5.2911034166	0.0663670023
2.0636363636	5.2911034166	0.0282843152
2.2818181818	5.2911034166	0.0109595174
2.5000000000	5.2911034166	0.0038609083
0.1000000000	5.6217973801	1.9800996675
0.3181818182	5.6217973801	1.8074328275
0.5363636364	5.6217973801	1.4999941831
0.7545454545	5.6217973801	1.1317989269
0.9727272727	5.6217973801	0.7764281537
1.1909090909	5.6217973801	0.4842677696
1.4090909091	5.6217973801	0.2746136689
1.6272727273	5.6217973801	0.1415829735
1.8454545455	5.6217973801	0.0663670023
2.0636363636	5.6217973801	0.0282843152
2.2818181818	5.6217973801	0.0109595174
2.5000000000	5.6217973801	0.0038609083
0.1000000000	5.9524913436	1.9800996675
0.3181818182	5.9524913436	1.8074328275
0.5363636364	5.9524913436	1.4999941831
0.7545454545	5.9524913436	1.1317989269
0.9727272727	5.9524913436	0.7764281537
1.1909090909	5.9524913436	0.4842677696
1.4090909091	5.9524913436	0.2746136689
1.6272727273	5.9524913436	0.1415829735
1.8454545455	5.9524913436	0.0663670023
2.0636363636	5.9524913436	0.0282843152
2.2818181818	5.9524913436	0.0109595174
2.5000000000	5.9524913436	0.0038609083
0.1000000000	6.2831853072	1.9800996675
0.3181818182	6.2831853072	1.8074328275
0.5363636364	6.2831853072	1.4999941831
0.7545454545	6.2831853072	1.1317989269
0.9727272727	6.2831853072	0.7764281537
1.1909090909	6.2831853072	0.4842677696
1.4090909091	6.2831853072	0.2746136689
1.6272727273	6.2831853072	0.1415829735
1.8454545455	6.2831853072	0.0663670023
2.0636363636	6.2831853072	0.0282843152
2.2818181818	6.2831853072	0.0109595174
2.5000000000	6.2831853072	0.0038609083
